,x,y
386,34,81
387,32,32
388,32,93
389,62,83
390,53,53
391,30,98
392,92,93
393,85,14
394,59,99
395,9,72
396,29,64
397,85,25
398,24,52
399,0,80
400,67,56
401,98,75
402,41,99
403,78,89
404,69,58
405,32,22
406,13,69
407,74,17
408,42,60
409,21,1
410,28,9
411,57,40
412,69,92
413,91,79
414,26,54
415,24,67
416,74,51
417,78,18
418,29,34
419,83,77
420,43,86
421,98,39
422,75,76
423,33,41
424,89,71
425,16,10
426,88,28
427,27,6
428,71,65
429,63,59
430,45,13
431,80,44
432,81,65
433,24,39
434,1,19
435,55,52
436,62,69
437,60,94
438,9,74
439,15,78
440,95,54
441,33,19
442,81,25
443,95,58
444,66,98
445,29,27
446,16,82
447,53,54
448,27,9
449,96,81
450,64,33
451,0,55
452,48,89
453,98,25
454,36,29
455,20,62
456,24,16
457,43,40
458,21,58
459,5,41
460,56,58
461,63,65
462,66,36
463,34,45
464,76,79
465,3,58
466,85,17
467,37,70
468,18,17
469,16,84
470,57,75
471,60,34
472,34,58
473,26,54
474,69,57
475,7,17
476,27,98
477,61,8
478,99,35
479,92,83
480,42,52
481,45,39
482,38,86
483,29,53
484,95,31
485,9,46
486,98,95
487,65,10
488,4,21
489,61,93
490,40,45
491,7,12
492,64,82
493,62,56
494,46,71
495,66,26
496,47,59
497,79,3
498,38,8
499,5,10
500,59,34
501,86,45
502,40,99
503,58,33
504,36,50
505,13,7
506,94,84
507,17,39
508,16,84
509,68,70
510,9,7
511,5,76
512,59,26
513,4,60
514,43,43
515,38,14
516,57,44
517,93,73
518,88,78
519,99,90
520,38,97
521,43,5
522,89,21
523,44,96
524,30,70
525,88,91
526,38,53
527,85,30
528,17,81
529,8,52
530,90,69
531,42,68
532,15,76
533,33,62
534,8,0
535,87,12
536,81,93
537,83,24
538,91,48
539,39,14
540,84,2
541,65,62
542,55,77
543,22,82
544,37,53
545,43,62
546,73,66
547,62,14
548,40,96
549,91,12
550,37,70
551,49,39
552,14,42
553,58,1
554,78,45
555,15,8
556,27,13
557,12,59
558,96,65
559,7,84
560,93,38
561,77,81
562,70,1
563,49,91
564,57,56
565,40,22
566,12,37
567,13,54
568,68,86
569,82,94
570,68,35
571,57,34
572,64,15
573,17,85
574,26,0
575,58,80
576,91,74
577,39,65
578,47,90
579,3,11
580,60,77
581,58,39
582,89,99
583,94,52
584,49,72
585,82,46
586,47,71
587,29,44
588,87,79
589,82,38
590,93,21
591,2,2
592,86,32
593,46,12
594,96,33
595,96,51
596,50,3
597,54,45
598,66,30
599,12,99
600,64,92
601,39,32
602,38,87
603,57,67
604,27,17
605,54,74
606,38,47
607,57,56
608,24,77
609,98,65
610,6,33
611,78,47
612,57,13
613,72,60
614,65,64
615,17,16
616,13,66
617,94,81
618,56,74
619,79,25
620,13,72
621,79,81
622,54,32
623,57,26
624,46,60
625,56,96
626,46,77
627,5,47
628,4,0
629,29,58
630,95,38
631,52,9
632,47,9
633,87,92
634,88,40
635,69,71
636,88,41
637,50,26
638,69,43
639,45,86
640,67,90
641,95,73
642,99,69
643,42,45
644,95,52
645,72,58
646,92,17
647,94,79
648,85,76
649,41,81
650,83,43
651,90,18
652,0,64
653,8,17
654,38,57
655,70,80
656,57,23
657,13,25
658,85,69
659,32,50
660,93,50
661,8,58
662,56,19
663,62,36
664,73,41
665,75,6
666,76,47
667,82,40
668,28,42
669,20,37
670,7,41
671,48,37
672,78,92
673,26,57
674,84,29
675,7,54
676,57,2
677,8,6
678,86,31
679,99,21
680,73,25
681,33,15
682,63,20
683,35,48
684,37,60
685,51,3
686,13,82
687,59,68
688,79,78
689,59,87
690,2,95
691,14,82
692,57,40
693,89,6
694,0,60
695,69,61
696,39,97
697,93,99
698,25,16
699,48,37
700,23,67
701,53,81
702,21,79
703,12,13
704,56,4
705,82,72
706,51,91
707,64,28
708,84,16
709,84,97
710,46,12
711,46,53
712,34,87
713,98,63
714,21,6
715,97,88
716,54,8
717,82,4
718,54,28
719,52,58
720,18,91
721,38,62
722,32,97
723,37,39
724,41,28
725,50,67
726,94,33
727,21,60
728,3,94
729,0,13
730,42,76
731,37,28
732,79,22
733,32,83
734,20,64
735,4,44
736,97,86
737,87,57
738,43,81
739,57,67
740,48,95
741,36,22
742,95,17
743,51,23
744,20,63
745,20,34
746,45,49
747,48,14
748,56,18
749,28,75
750,83,4
751,39,67
752,62,97
753,71,30
754,92,2
755,14,90
756,28,2
757,58,70
758,42,37
759,64,3
760,66,79
761,93,61
762,98,45
763,7,68
764,16,10
765,43,9
766,31,11
767,89,87
768,14,56
769,87,7
770,52,16
771,55,55
772,40,5
773,15,20
774,21,84
775,16,49
776,94,80
777,85,74
778,33,19
779,39,70
780,36,13
781,99,14
782,19,84
783,86,87
784,75,85
785,17,49
786,57,78
787,87,57
788,64,83
789,14,46
790,89,14
791,81,92
792,17,61
793,22,63
794,40,61
795,46,98
796,84,65
797,22,28
798,87,84
799,73,9
800,8,63
801,80,78
802,79,13
803,17,49
804,85,87
805,43,26
806,16,63
807,53,91
808,50,26
809,89,94
810,79,36
811,92,10
812,44,59
813,65,78
814,25,20
815,33,13
816,6,30
817,63,60
818,91,45
819,31,97
820,92,88
821,23,43
822,79,0
823,87,28
824,74,22
825,75,79
826,49,57
827,51,75
828,89,69
829,73,70
830,13,57
831,2,46
832,53,15
833,15,46
834,72,25
835,28,11
836,28,67
837,78,32
838,24,48
839,33,13
840,28,5
841,95,19
842,33,2
843,61,71
844,46,72
845,68,37
846,67,6
847,3,22
848,6,40
849,98,16
850,65,20
851,47,8
852,71,80
853,30,11
854,55,34
855,99,14
856,22,58
857,44,24
858,1,68
859,58,19
860,37,36
861,11,89
862,64,3
863,52,98
864,26,31
865,82,76
866,81,83
867,37,75
868,24,75
869,19,28
870,55,66
871,78,88
872,30,73
873,23,99
874,59,28
875,64,0
876,67,93
877,32,8
878,45,48
879,74,8
880,54,10
881,61,67
882,2,11
883,14,68
884,96,40
885,42,62
886,93,41
887,67,0
888,77,55
889,86,91
890,33,97
891,12,55
892,7,48
893,97,19
894,57,91
895,13,13
896,97,73
897,16,74
898,24,43
899,47,22
900,24,59
901,19,30
902,87,70
903,56,35
904,10,51
905,25,83
906,14,60
907,39,2
908,18,89
909,74,31
910,26,90
911,6,82
912,15,4
913,37,87
914,90,14
915,76,9
916,69,31
917,60,1
918,5,68
919,93,6
920,49,58
921,8,81
922,69,78
923,87,61
924,33,42
925,50,64
926,72,54
927,74,91
928,38,80
929,82,86
930,25,32
931,97,49
932,11,22
933,93,89
934,79,54
935,26,2
936,28,41
937,54,10
938,35,89
939,71,63
940,80,79
941,8,20
942,85,57
943,27,22
944,74,96
945,61,26
946,34,24
947,29,43
948,61,32
949,46,82
950,16,37
951,33,32
952,12,14
953,12,12
954,93,73
955,40,94
956,5,14
957,8,78
958,45,36
959,65,49
960,11,71
961,16,0
962,80,17
963,6,98
964,12,18
965,65,13
966,79,29
967,24,53
968,31,40
969,20,64
970,82,59
971,83,97
972,82,5
973,42,95
974,42,14
975,55,47
976,75,47
977,25,9
978,76,48
979,3,90
980,25,51
981,48,24
982,42,93
983,77,75
984,5,43
985,6,60
986,11,18
987,14,60
988,53,73
989,65,21
990,11,64
991,5,41
992,79,97
993,4,40
994,7,64
995,66,81
996,8,26
997,38,93
998,88,77
999,4,6
1000,57,82
1001,69,66
1002,55,83
1003,27,58
1004,20,98
1005,22,56
1006,65,72
1007,92,70
1008,62,75
1009,87,62
1010,86,36
1011,10,71
1012,35,85
1013,77,74
1014,95,44
1015,1,92
1016,79,14
1017,43,69
1018,25,63
1019,55,60
1020,51,22
1021,96,7
1022,52,5
1023,7,17
1024,77,28
1025,74,91
1026,59,71
1027,4,9
1028,57,69
1029,6,86
1030,3,59
1031,65,84
1032,37,4
1033,15,69
1034,9,5
1035,6,5
1036,76,60
1037,74,74
1038,54,80
1039,70,9
1040,13,14
1041,44,2
1042,86,83
1043,8,31
1044,72,0
1045,6,71
1046,21,71
1047,59,0
1048,54,81
1049,92,55
1050,0,26
1051,28,27
1052,83,97
1053,80,26
1054,0,38
1055,97,20
1056,16,17
1057,10,60
1058,49,45
1059,76,38
1060,39,3
1061,52,88
1062,2,27
1063,50,41
1064,8,74
1065,95,25
1066,49,53
1067,25,45
1068,75,64
1069,53,16
1070,21,4
1071,83,48
1072,98,52
1073,14,2
1074,74,53
1075,13,54
1076,93,25
1077,68,40
1078,96,85
1079,32,4
1080,76,64
1081,68,56
1082,84,22
1083,19,73
1084,60,26
1085,51,62
1086,49,57
1087,33,60
1088,71,82
1089,54,72
1090,59,55
1091,38,16
1092,71,16
1093,24,75
1094,41,78
1095,50,44
1096,92,34
1097,84,98
1098,98,40
1099,51,75
1100,82,0
1101,76,49
1102,98,91
1103,66,20
1104,81,60
1105,88,58
1106,23,77
1107,32,65
1108,83,85
1109,97,98
1110,51,89
1111,26,87
1112,47,31
1113,18,34
1114,91,62
1115,27,97
1116,12,68
1117,85,13
1118,83,81
1119,17,51
1120,35,87
1121,43,6
1122,67,75
1123,28,59
1124,93,77
1125,95,74
1126,81,88
1127,50,3
1128,43,47
1129,68,44
1130,42,70
1131,24,54
1132,86,34
1133,69,50
1134,54,70
1135,70,11
1136,16,94
1137,44,25
1138,67,74
1139,7,93
1140,72,10
1141,40,39
1142,21,31
1143,82,0
1144,35,84
1145,45,59
1146,0,31
1147,36,78
1148,81,17
1149,36,66
1150,62,7
1151,44,95
1152,83,87
1153,3,7
1154,57,23
1155,97,33
1156,55,68
1157,41,89
1158,74,91
1159,97,26
1160,90,0
1161,80,73
1162,99,18
1163,47,96
1164,47,26
1165,62,84
1166,54,52
1167,97,27
1168,97,56
1169,24,35
1170,70,38
1171,82,35
1172,69,83
1173,12,46
1174,50,12
1175,49,98
1176,66,38
1177,58,98
1178,66,55
1179,46,68
1180,37,40
1181,73,88
1182,9,49
1183,91,34
1184,60,93
1185,83,47
1186,63,31
1187,52,61
1188,68,45
1189,46,53
1190,25,22
1191,62,77
1192,26,51
1193,12,69
1194,19,51
1195,84,51
1196,72,42
1197,51,70
1198,57,70
1199,89,74
1200,79,12
1201,5,30
1202,70,75
1203,95,42
1204,65,15
1205,84,8
1206,21,79
1207,18,55
1208,25,87
1209,19,30
1210,57,62
1211,30,20
1212,65,69
1213,67,37
1214,96,54
1215,23,33
1216,63,92
1217,15,33
1218,46,18
1219,99,86
1220,84,55
1221,13,91
1222,95,35
1223,33,55
1224,84,8
1225,52,14
1226,49,24
1227,53,78
1228,53,94
1229,53,47
1230,35,14
1231,20,71
1232,90,17
1233,42,98
1234,97,87
1235,66,30
1236,88,16
1237,84,61
1238,36,45
1239,38,47
1240,63,36
1241,29,38
1242,78,64
1243,27,30
1244,32,57
1245,57,29
1246,21,96
1247,54,32
1248,98,38
1249,93,16
1250,24,92
1251,76,48
1252,40,83
1253,22,66
1254,60,24
1255,29,64
1256,7,62
1257,34,87
1258,45,6
1259,16,42
1260,53,19
1261,73,98
1262,66,90
1263,94,8
1264,44,73
1265,68,75
1266,36,55
1267,78,64
1268,68,90
1269,28,50
1270,40,57
1271,24,87
1272,9,55
1273,96,99
1274,27,94
1275,43,44
1276,57,60
1277,51,22
1278,1,45
1279,51,74
1280,25,72
1281,88,52
1282,15,42
1283,80,51
1284,26,86
1285,22,3
1286,0,82
1287,57,59
1288,77,98
1289,82,79
1290,87,94
1291,1,47
1292,63,64
1293,87,99
1294,50,9
1295,90,89
1296,80,67
1297,43,10
1298,14,89
1299,18,49
1300,2,57
1301,7,46
1302,27,77
1303,83,52
1304,29,14
1305,94,55
1306,28,6
1307,19,8
1308,1,84
1309,90,36
1310,92,25
1311,82,18
1312,71,55
1313,92,19
1314,40,67
1315,60,32
1316,75,68
1317,38,42
1318,36,42
1319,52,6
1320,75,23
1321,84,73
1322,32,47
1323,59,15
1324,41,97
1325,24,90
1326,46,64
1327,13,68
1328,97,2
1329,82,83
1330,38,76
1331,34,28
1332,85,60
1333,81,78
1334,41,34
1335,10,32
1336,10,49
1337,90,10
1338,58,84
1339,44,84
1340,58,63
1341,35,17
1342,52,81
1343,77,69
1344,47,66
1345,64,7
1346,14,25
1347,1,77
1348,74,20
1349,59,12
1350,10,65
1351,87,51
1352,46,92
1353,15,20
1354,59,39
1355,78,98
1356,56,78
1357,39,80
1358,53,56
1359,99,54
1360,44,75
1361,60,32
1362,42,22
1363,60,84
1364,54,95
1365,35,67
1366,93,86
1367,88,10
1368,83,60
1369,96,8
1370,13,60
1371,70,37
1372,84,96
1373,75,28
1374,38,35
1375,58,29
1376,75,47
1377,69,69
1378,15,10
1379,17,81
1380,74,57
1381,23,49
1382,39,33
1383,11,32
1384,13,1
1385,38,13
1386,33,63
1387,29,42
1388,46,88
1389,50,13
1390,49,13
1391,21,13
1392,55,88
1393,35,97
1394,28,3
1395,31,36
1396,16,78
1397,55,56
1398,48,78
1399,85,85
1400,30,33
1401,49,87
1402,6,56
1403,72,88
1404,66,42
1405,65,89
1406,56,47
1407,61,17
1408,49,90
1409,63,39
1410,65,65
1411,50,45
1412,50,64
1413,23,61
1414,4,98
1415,98,21
1416,50,27
1417,98,98
1418,84,41
1419,2,71
1420,90,2
1421,12,18
1422,17,71
1423,4,65
1424,88,6
1425,43,42
1426,98,70
1427,35,94
1428,28,92
1429,55,10
1430,81,39
1431,32,11
1432,36,19
1433,58,20
1434,43,99
1435,47,42
1436,74,12
1437,50,93
1438,1,93
1439,31,6
1440,31,50
1441,3,46
1442,28,56
1443,38,87
1444,13,32
1445,80,73
1446,58,62
1447,42,59
1448,28,96
1449,52,13
1450,82,6
1451,30,65
1452,59,94
1453,36,11
1454,55,49
1455,58,65
1456,63,77
1457,71,0
1458,37,61
1459,71,90
1460,10,56
1461,97,46
1462,4,81
1463,90,81
1464,42,24
1465,29,75
1466,54,44
1467,59,80
1468,12,80
1469,7,79
1470,55,28
1471,0,9
1472,82,52
1473,54,47
1474,77,86
1475,97,25
1476,90,66
1477,70,93
1478,47,53
1479,9,90
1480,71,59
1481,79,53
1482,79,47
1483,73,72
1484,55,12
1485,4,15
1486,22,36
1487,21,70
1488,24,33
1489,89,2
1490,27,4
1491,49,98
1492,20,65
1493,29,91
1494,83,41
1495,81,42
1496,98,19
1497,11,20
1498,75,53
1499,83,6
1500,20,13
1501,43,96
1502,71,56
1503,87,62
1504,44,87
1505,61,73
1506,20,87
1507,79,89
1508,79,54
1509,87,2
1510,79,13
1511,12,34
1512,11,60
1513,45,33
1514,37,40
1515,68,93
1516,5,23
1517,16,57
1518,17,75
1519,5,95
1520,74,9
1521,71,57
1522,32,49
1523,34,23
1524,94,74
1525,94,80
1526,20,37
1527,60,59
1528,4,97
1529,97,47
1530,79,82
1531,96,28
1532,41,59
1533,94,15
1534,6,9
1535,28,59
1536,93,5
1537,89,60
1538,73,56
1539,91,70
1540,55,88
1541,0,54
1542,33,44
1543,96,62
1544,69,94
1545,44,79
1546,2,4
1547,39,14
1548,56,66
1549,52,86
1550,20,42
1551,14,26
1552,93,58
1553,61,75
1554,12,33
1555,66,9
1556,16,49
1557,23,75
1558,31,0
1559,75,80
1560,6,10
1561,70,78
1562,72,24
1563,63,50
1564,99,74
1565,87,96
1566,20,9
1567,23,94
1568,26,35
1569,95,3
1570,22,59
1571,52,20
1572,94,65
1573,79,5
1574,39,46
1575,66,99
1576,65,20
1577,97,16
1578,6,94
1579,54,54
1580,37,63
1581,41,99
1582,23,11
1583,42,80
1584,19,3
1585,45,84
1586,29,6
1587,23,12
1588,83,19
1589,36,5
1590,4,12
1591,52,27
1592,38,8
1593,22,49
1594,48,43
1595,46,89
1596,73,95
1597,15,82
1598,87,98
1599,37,2
1600,98,62
1601,29,51
1602,83,8
1603,96,55
1604,89,48
1605,52,36
1606,44,39
1607,2,22
1608,60,82
1609,81,5
1610,96,5
1611,47,47
1612,92,93
1613,72,92
1614,83,15
1615,15,21
1616,81,22
1617,73,11
1618,47,9
1619,78,65
1620,3,97
1621,79,94
1622,46,46
1623,23,3
1624,64,81
1625,2,50
1626,25,99
1627,23,86
1628,28,67
1629,92,71
1630,46,51
1631,13,97
1632,98,81
1633,63,19
1634,87,82
1635,41,36
1636,17,50
1637,70,56
1638,92,88
1639,72,58
1640,38,16
1641,53,91
1642,86,1
1643,1,77
1644,44,82
1645,37,43
1646,63,46
1647,4,54
1648,49,6
1649,89,25
1650,72,36
1651,63,10
1652,31,66
1653,67,80
1654,77,62
1655,90,91
1656,52,58
1657,92,53
1658,83,29
1659,13,69
1660,37,88
1661,97,32
1662,23,34
1663,6,82
1664,15,26
1665,44,77
1666,0,88
1667,77,48
1668,84,8
1669,66,62
1670,52,22
1671,4,38
1672,98,35
1673,50,25
1674,8,99
1675,91,69
1676,69,22
1677,0,25
1678,54,69
1679,79,7
1680,73,57
1681,36,4
1682,48,37
1683,49,60
1684,87,23
1685,98,30
1686,81,10
1687,25,18
1688,59,34
1689,65,8
1690,17,4
1691,67,90
1692,31,61
1693,53,85
1694,91,40
1695,30,38
1696,88,77
1697,10,99
1698,60,47
1699,50,32
1700,63,6
1701,52,43
1702,26,79
1703,63,19
1704,10,86
1705,11,29
1706,17,78
1707,16,60
1708,67,36
1709,82,86
1710,32,13
1711,76,68
1712,75,24
1713,64,20
1714,11,81
1715,53,58
1716,14,52
1717,28,40
1718,13,13
1719,4,32
1720,13,62
1721,71,71
1722,60,68
1723,64,25
1724,10,95
1725,54,34
1726,83,10
1727,34,32
1728,47,24
1729,52,10
1730,46,83
1731,45,80
1732,81,15
1733,4,46
1734,73,86
1735,52,45
1736,79,65
1737,97,8
1738,29,15
1739,94,32
1740,5,61
1741,95,93
1742,63,95
1743,66,90
1744,11,3
1745,69,87
1746,43,2
1747,38,74
1748,94,74
1749,0,45
1750,90,52
1751,72,28
1752,64,58
1753,66,79
1754,17,11
1755,63,5
1756,15,69
1757,94,34
1758,76,30
1759,80,51
1760,9,61
1761,15,64
1762,17,19
1763,22,53
1764,55,25
1765,35,25
1766,52,32
1767,16,68
1768,71,89
1769,14,25
1770,76,0
1771,72,24
1772,79,49
1773,75,95
1774,69,25
1775,23,8
1776,37,49
1777,6,87
1778,57,88
1779,65,67
1780,64,55
1781,72,82
1782,69,48
1783,66,86
1784,22,1
1785,44,15
1786,12,4
1787,96,79
1788,25,5
1789,44,55
1790,68,10
1791,24,98
1792,85,54
1793,83,15
1794,0,19
1795,84,70
1796,30,13
1797,25,92
1798,85,10
1799,49,75
1800,96,57
1801,79,57
1802,79,19
1803,97,24
1804,47,12
1805,66,94
1806,28,51
1807,40,17
1808,73,5
1809,68,23
1810,79,4
1811,37,57
1812,52,48
1813,57,5
1814,53,40
1815,84,90
1816,26,77
1817,23,71
1818,7,35
1819,28,87
1820,38,98
1821,59,66
1822,6,37
1823,85,39
1824,37,50
1825,60,65
1826,37,67
1827,47,86
1828,46,92
1829,99,32
1830,27,34
1831,71,59
1832,98,22
1833,85,63
1834,44,55
1835,93,3
1836,26,93
1837,9,57
1838,11,95
1839,2,80
1840,33,65
1841,61,21
1842,33,2
1843,83,10
1844,59,36
1845,45,92
1846,0,17
1847,63,52
1848,13,35
1849,81,23
1850,49,11
1851,32,93
1852,84,45
1853,16,81
1854,22,0
1855,80,29
1856,52,86
1857,93,13
1858,28,13
1859,3,10
1860,1,64
1861,34,94
1862,44,47
1863,88,38
1864,23,41
1865,15,16
1866,69,66
1867,20,24
1868,41,66
1869,90,65
1870,34,66
1871,29,69
1872,74,97
1873,12,87
1874,88,87
1875,24,35
1876,34,90
1877,16,63
1878,73,63
1879,35,31
1880,99,82
1881,98,36
1882,70,86
1883,38,34
1884,21,49
1885,94,11
1886,28,0
1887,10,38
1888,38,69
1889,66,19
1890,27,98
1891,46,99
1892,96,65
1893,97,29
1894,1,71
1895,9,32
1896,41,88
1897,47,99
1898,81,75
1899,14,24
1900,50,43
1901,81,89
1902,65,95
1903,48,99
1904,78,84
1905,5,83
1906,33,10
1907,29,7
1908,43,32
1909,50,74
1910,19,69
1911,34,79
1912,67,43
1913,97,89
1914,44,97
1915,99,64
1916,61,13
1917,55,4
1918,44,64
1919,45,70
1920,78,61
1921,1,97
1922,56,82
1923,6,18
1924,37,69
1925,22,66
1926,8,33
1927,64,63
1928,26,65
1929,80,20
1930,18,8
1931,8,8
1932,92,51
1933,35,32
1934,26,35
1935,89,30
1936,12,76
1937,85,48
1938,3,2
1939,99,89
1940,13,51
1941,78,85
1942,85,17
1943,77,62
1944,45,86
1945,52,61
1946,29,8
1947,60,23
1948,84,91
1949,59,54
1950,5,96
1951,10,88
1952,42,23
1953,23,76
1954,63,30
1955,16,76
1956,95,93
1957,12,17
1958,80,69
1959,40,91
1960,20,62
1961,77,71
1962,66,7
1963,52,1
1964,55,95
1965,83,69
1966,2,86
1967,31,14
1968,76,83
1969,91,34
1970,70,61
1971,35,3
1972,64,94
1973,43,94
1974,9,93
1975,19,1
1976,12,55
1977,2,30
1978,71,0
1979,13,47
1980,66,53
1981,83,92
1982,23,34
1983,11,0
1984,60,53
1985,39,22
1986,39,73
1987,74,52
1988,74,24
1989,51,94
1990,8,58
1991,18,46
1992,41,32
1993,6,67
1994,28,0
1995,57,65
1996,43,23
1997,31,8
1998,86,9
1999,4,72
2000,55,73
2001,74,16
2002,9,9
2003,22,25
2004,20,70
2005,76,25
2006,96,27
2007,92,87
2008,88,84
2009,79,14
2010,59,30
2011,31,42
2012,53,36
2013,96,26
2014,34,6
2015,93,6
2016,16,50
2017,15,85
2018,0,67
2019,43,19
2020,74,17
2021,7,31
2022,40,90
2023,82,88
2024,55,74
2025,88,26
2026,63,23
2027,8,97
2028,74,9
2029,26,69
2030,41,53
2031,62,65
2032,72,15
2033,0,84
2034,7,60
2035,73,98
2036,76,82
2037,44,86
2038,75,3
2039,47,24
2040,5,15
2041,35,48
2042,25,85
2043,36,30
2044,4,35
2045,99,15
2046,70,53
2047,11,44
2048,88,55
2049,24,66
2050,49,32
2051,27,4
2052,8,57
2053,0,90
2054,4,66
2055,30,82
2056,3,55
2057,80,71
2058,84,78
2059,92,73
2060,72,70
2061,52,87
2062,17,17
2063,32,73
2064,92,76
2065,87,30
2066,87,66
2067,17,66
2068,94,16
2069,1,81
2070,25,16
2071,37,16
2072,17,25
2073,18,86
2074,74,88
2075,96,90
2076,39,43
2077,73,57
2078,50,89
2079,19,60
2080,13,10
2081,80,83
2082,61,84
2083,31,98
2084,46,28
2085,74,89
2086,60,46
2087,4,55
2088,66,16
2089,30,1
2090,1,50
2091,96,59
2092,96,28
2093,23,88
2094,96,42
2095,52,63
2096,62,2
2097,72,84
2098,0,75
2099,46,22
2100,13,67
2101,11,63
2102,77,5
2103,99,11
2104,56,31
2105,67,75
2106,53,69
2107,13,64
2108,79,74
2109,32,32
2110,84,51
2111,20,87
2112,21,8
2113,93,95
2114,12,74
2115,47,43
2116,73,38
2117,8,94
2118,10,42
2119,47,87
2120,47,97
2121,64,42
2122,83,44
2123,29,34
2124,9,41
2125,10,21
2126,47,71
2127,12,12
2128,79,65
2129,53,95
2130,41,72
2131,63,84
2132,31,72
2133,28,72
2134,50,14
2135,93,48
2136,56,55
2137,41,17
2138,46,32
2139,33,30
2140,55,36
